"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"72",72,0.131088440592161,"train",NA,NA,NA,NA,"PSA","real estate"
"73",73,0.10861394492598,"train",NA,NA,NA,NA,"PSA","real estate"
"74",74,0.128020250057529,"train",NA,NA,NA,NA,"PSA","real estate"
"75",75,0.114443506941781,"train",NA,NA,NA,NA,"PSA","real estate"
"76",76,0.0872133159469204,"train",NA,NA,NA,NA,"PSA","real estate"
"77",77,0.0620541535629363,"train",NA,NA,NA,NA,"PSA","real estate"
"78",78,0.045255810385825,"train",NA,NA,NA,NA,"PSA","real estate"
"79",79,0.0735598680678071,"train",NA,NA,NA,NA,"PSA","real estate"
"80",80,0.0432614865383139,"train",NA,NA,NA,NA,"PSA","real estate"
"81",81,0.0382756769195366,"train",NA,NA,NA,NA,"PSA","real estate"
"82",82,0.0614405154560098,"train",NA,NA,NA,NA,"PSA","real estate"
"83",83,0.0604433535322543,"train",NA,NA,NA,NA,"PSA","real estate"
"84",84,0.0349773720948071,"train",NA,NA,NA,NA,"PSA","real estate"
"85",85,0.0237017718800338,"train",NA,NA,NA,NA,"PSA","real estate"
"86",86,0.0138835621692107,"train",NA,NA,NA,NA,"PSA","real estate"
"87",87,0.0494745723709442,"train",NA,NA,NA,NA,"PSA","real estate"
"88",88,0.045255810385825,"train",NA,NA,NA,NA,"PSA","real estate"
"89",89,0.0570683439441589,"train",NA,NA,NA,NA,"PSA","real estate"
"90",90,0.0498580961877733,"train",NA,NA,NA,NA,"PSA","real estate"
"91",91,0.0253125719107155,"train",NA,NA,NA,NA,"PSA","real estate"
"92",92,0,"train",NA,NA,NA,NA,"PSA","real estate"
"93",93,0.0293779243691032,"train",NA,NA,NA,NA,"PSA","real estate"
"94",94,0.0253125719107155,"train",NA,NA,NA,NA,"PSA","real estate"
"95",95,0.0375853340492445,"train",NA,NA,NA,NA,"PSA","real estate"
"96",96,0.0433381913016799,"train",NA,NA,NA,NA,"PSA","real estate"
"97",97,0.06289790595996,"train",NA,NA,NA,NA,"PSA","real estate"
"98",98,0.0569916391807932,"train",NA,NA,NA,NA,"PSA","real estate"
"99",99,0.0450256960957276,"train",NA,NA,NA,NA,"PSA","real estate"
"100",100,0.0673467822351768,"train",NA,NA,NA,NA,"PSA","real estate"
"101",101,0.0564547058372324,"train",NA,NA,NA,NA,"PSA","real estate"
"102",102,0.0534632200659661,"train",NA,NA,NA,NA,"PSA","real estate"
"103",103,0.0533865153026004,"train",NA,NA,NA,NA,"PSA","real estate"
"104",104,0.0716422489836619,"train",NA,NA,NA,NA,"PSA","real estate"
"105",105,0.0717956585103934,"train",NA,NA,NA,NA,"PSA","real estate"
"106",106,0.103321316253739,"train",NA,NA,NA,NA,"PSA","real estate"
"107",107,0.101096878116131,"train",NA,NA,NA,NA,"PSA","real estate"
"108",108,0.105929278208177,"train",NA,NA,NA,NA,"PSA","real estate"
"109",109,0.110761678300222,"train",NA,NA,NA,NA,"PSA","real estate"
"110",110,0.121193526117972,"train",NA,NA,NA,NA,"PSA","real estate"
"111",111,0.130781621538697,"train",NA,NA,NA,NA,"PSA","real estate"
"112",112,0.127636726240699,"train",NA,NA,NA,NA,"PSA","real estate"
"113",113,0.134003221600061,"train",NA,NA,NA,NA,"PSA","real estate"
"114",114,0.130704916775332,"train",NA,NA,NA,NA,"PSA","real estate"
"115",115,0.101403697169594,"train",NA,NA,NA,NA,"PSA","real estate"
"116",116,0.107770192528956,"train",NA,NA,NA,NA,"PSA","real estate"
"117",117,0.115824192682366,"train",NA,NA,NA,NA,"PSA","real estate"
"118",118,0.105008821047787,"train",NA,NA,NA,NA,"PSA","real estate"
"119",119,0.104625297230958,"train",NA,NA,NA,NA,"PSA","real estate"
"120",120,0.102170744803252,"train",NA,NA,NA,NA,"PSA","real estate"
"121",121,0.117971926056608,"train",NA,NA,NA,NA,"PSA","real estate"
"122",122,0.113753164071489,"train",NA,NA,NA,NA,"PSA","real estate"
"123",123,0.124875354759531,"train",NA,NA,NA,NA,"PSA","real estate"
"124",124,0.124798649996165,"train",NA,NA,NA,NA,"PSA","real estate"
"125",125,0.128633888164455,"train",NA,NA,NA,NA,"PSA","real estate"
"126",126,0.119429316560558,"train",NA,NA,NA,NA,"PSA","real estate"
"127",127,0.132315716806014,"train",NA,NA,NA,NA,"PSA","real estate"
"128",128,0.122574211858556,"train",NA,NA,NA,NA,"PSA","real estate"
"129",129,0.109457697323004,"train",NA,NA,NA,NA,"PSA","real estate"
"130",130,0.104855411521055,"train",NA,NA,NA,NA,"PSA","real estate"
"131",131,0.0884405921607732,"train",NA,NA,NA,NA,"PSA","real estate"
"132",132,0.0617473345094729,"train",NA,NA,NA,NA,"PSA","real estate"
"133",133,0.0570683439441589,"train",NA,NA,NA,NA,"PSA","real estate"
"134",134,0.080616706297461,"train",NA,NA,NA,NA,"PSA","real estate"
"135",135,0.0859093349697015,"train",NA,NA,NA,NA,"PSA","real estate"
"136",136,0.0875968397637493,"train",NA,NA,NA,NA,"PSA","real estate"
"137",137,0.0903582112449183,"train",NA,NA,NA,NA,"PSA","real estate"
"138",138,0.0730996394876122,"train",NA,NA,NA,NA,"PSA","real estate"
"139",139,0.0606734678223518,"train",NA,NA,NA,NA,"PSA","real estate"
"140",140,0.0517757152719184,"train",NA,NA,NA,NA,"PSA","real estate"
"141",141,0.0530029914857712,"train",NA,NA,NA,NA,"PSA","real estate"
"142",142,0.0519291247986499,"train",NA,NA,NA,NA,"PSA","real estate"
"143",143,0.0498580961877733,"train",NA,NA,NA,NA,"PSA","real estate"
"144",144,0.0510086676382604,"train",NA,NA,NA,NA,"PSA","real estate"
"145",145,0.0411137531640714,"train",NA,NA,NA,NA,"PSA","real estate"
"146",146,0.0546137915164532,"train",NA,NA,NA,NA,"PSA","real estate"
"147",147,0.0843752397023855,"train",NA,NA,NA,NA,"PSA","real estate"
"148",148,0.0918156017488686,"train",NA,NA,NA,NA,"PSA","real estate"
"149",149,0.086139449259799,"train",NA,NA,NA,NA,"PSA","real estate"
"150",150,0.0770115824192682,"train",NA,NA,NA,NA,"PSA","real estate"
"151",151,0.0777019252895605,"train",NA,NA,NA,NA,"PSA","real estate"
"152",152,0.0897445731379918,"train",NA,NA,NA,NA,"PSA","real estate"
"153",153,0.0969548208943775,"train",NA,NA,NA,NA,"PSA","real estate"
"154",154,0.151338498120733,"train",NA,NA,NA,NA,"PSA","real estate"
"155",155,0.154176574365268,"train",NA,NA,NA,NA,"PSA","real estate"
"156",156,0.137531640714888,"train",NA,NA,NA,NA,"PSA","real estate"
"157",157,0.125335583339725,"train",NA,NA,NA,NA,"PSA","real estate"
"158",158,0.111758840223978,"train",NA,NA,NA,NA,"PSA","real estate"
"159",159,0.125565697629823,"train",NA,NA,NA,NA,"PSA","real estate"
"160",160,0.131241850118892,"train",NA,NA,NA,NA,"PSA","real estate"
"161",161,0.128020250057529,"train",NA,NA,NA,NA,"PSA","real estate"
"162",162,0.112372478330904,"train",NA,NA,NA,NA,"PSA","real estate"
"163",163,0.129247526271381,"train",NA,NA,NA,NA,"PSA","real estate"
"164",164,0.136611183554499,"train",NA,NA,NA,NA,"PSA","real estate"
"165",165,0.12341796425558,"train",NA,NA,NA,NA,"PSA","real estate"
"166",166,0.129324231034747,"train",NA,NA,NA,NA,"PSA","real estate"
"167",167,0.134310040653525,"train",NA,NA,NA,NA,"PSA","real estate"
"168",168,0.122267392805093,"train",NA,NA,NA,NA,"PSA","real estate"
"169",169,0.123801488072409,"train",NA,NA,NA,NA,"PSA","real estate"
"170",170,0.156631126792974,"train",NA,NA,NA,NA,"PSA","real estate"
"171",171,0.172662422336427,"train",NA,NA,NA,NA,"PSA","real estate"
"172",172,0.166219222213699,"train",NA,NA,NA,NA,"PSA","real estate"
"173",173,0.164301603129554,"train",NA,NA,NA,NA,"PSA","real estate"
"174",174,0.190764746490757,"train",NA,NA,NA,NA,"PSA","real estate"
"175",175,0.204494899133236,"train",NA,NA,NA,NA,"PSA","real estate"
"176",176,0.201426708598604,"train",NA,NA,NA,NA,"PSA","real estate"
"177",177,0.19053463220066,"train",NA,NA,NA,NA,"PSA","real estate"
"178",178,0.1958272608729,"train",NA,NA,NA,NA,"PSA","real estate"
"179",179,0.196134079926363,"train",NA,NA,NA,NA,"PSA","real estate"
"180",180,0.199278975224361,"train",NA,NA,NA,NA,"PSA","real estate"
"181",181,0.217534708905423,"train",NA,NA,NA,NA,"PSA","real estate"
"182",182,0.203037508629286,"train",NA,NA,NA,NA,"PSA","real estate"
"183",183,0.18194369870369,"train",NA,NA,NA,NA,"PSA","real estate"
"184",184,0.166679450793894,"train",NA,NA,NA,NA,"PSA","real estate"
"185",185,0.161616936411751,"train",NA,NA,NA,NA,"PSA","real estate"
"186",186,0.177111298611644,"train",NA,NA,NA,NA,"PSA","real estate"
"187",187,0.174503336657206,"train",NA,NA,NA,NA,"PSA","real estate"
"188",188,0.148270307586101,"train",NA,NA,NA,NA,"PSA","real estate"
"189",189,0.143974840837616,"train",NA,NA,NA,NA,"PSA","real estate"
"190",190,0.117281583186316,"train",NA,NA,NA,NA,"PSA","real estate"
"191",191,0.107463373475493,"train",NA,NA,NA,NA,"PSA","real estate"
"192",192,0.107309963948761,"train",NA,NA,NA,NA,"PSA","real estate"
"193",193,0.101403697169594,"train",NA,NA,NA,NA,"PSA","real estate"
"194",194,0.110148040193296,"train",NA,NA,NA,NA,"PSA","real estate"
"195",195,0.128633888164455,"train",NA,NA,NA,NA,"PSA","real estate"
"196",196,0.126639564316944,"train",NA,NA,NA,NA,"PSA","real estate"
"197",197,0.104318478177495,"train",NA,NA,NA,NA,"PSA","real estate"
"198",198,0.0847587635192144,"train",NA,NA,NA,NA,"PSA","real estate"
"199",199,0.0663496203114214,"train",NA,NA,NA,NA,"PSA","real estate"
"200",200,0.0677303060520057,"train",NA,NA,NA,NA,"PSA","real estate"
"201",201,0.0687274679757614,"train",NA,NA,NA,NA,"PSA","real estate"
"202",202,0.0599064201886937,"train",NA,NA,NA,NA,"PSA","real estate"
"203",203,0.0517757152719184,"train",NA,NA,NA,NA,"PSA","real estate"
"204",204,0.0635882488302523,"train",NA,NA,NA,NA,"PSA","real estate"
"205",205,0.0521592390887473,"train",NA,NA,NA,NA,"PSA","real estate"
"206",206,0.0529262867224055,"train",NA,NA,NA,NA,"PSA","real estate"
"207",207,0.0346705530413437,"train",NA,NA,NA,NA,"PSA","real estate"
"208",208,0.0462529723095804,"train",NA,NA,NA,NA,"PSA","real estate"
"209",209,0.0402700007670476,"train",NA,NA,NA,NA,"PSA","real estate"
"210",210,0.062130858326302,"train",NA,NA,NA,NA,"PSA","real estate"
"211",211,0.0713354299301985,"train",NA,NA,NA,NA,"PSA","real estate"
"212",212,0.0675001917619083,"train",NA,NA,NA,NA,"PSA","real estate"
"213",213,0.0356677149650994,"train",NA,NA,NA,NA,"PSA","real estate"
"214",214,0.0292245148423717,"train",NA,NA,NA,NA,"PSA","real estate"
"215",215,0.0279205338651529,"train",NA,NA,NA,NA,"PSA","real estate"
"216",216,0.0391961340799263,"train",NA,NA,NA,NA,"PSA","real estate"
"217",217,0.0277671243384215,"train",NA,NA,NA,NA,"PSA","real estate"
"218",218,0.0479404771036281,"train",NA,NA,NA,NA,"PSA","real estate"
"219",219,0.0403467055304134,"train",NA,NA,NA,NA,"PSA","real estate"
"220",220,0.0454092199125565,"train",NA,NA,NA,NA,"PSA","real estate"
"221",221,0.0433381913016799,"train",NA,NA,NA,NA,"PSA","real estate"
"222",222,0.0437217151185088,"train",NA,NA,NA,NA,"PSA","real estate"
"223",223,0.0402700007670476,"train",NA,NA,NA,NA,"PSA","real estate"
"224",224,0.0400398864769502,"train",NA,NA,NA,NA,"PSA","real estate"
"225",225,0.0434916008284114,"train",NA,NA,NA,NA,"PSA","real estate"
"226",226,0.035437600675002,"train",NA,NA,NA,NA,"PSA","real estate"
"227",227,0.0233949528265704,"train",NA,NA,NA,NA,"PSA","real estate"
"228",228,0.032292705377004,"train",NA,NA,NA,NA,"PSA","real estate"
"229",229,0.0316790672700774,"train",NA,NA,NA,NA,"PSA","real estate"
"230",230,0.0303750862928589,"train",NA,NA,NA,NA,"PSA","real estate"
"231",231,0.0324461149037355,"train",NA,NA,NA,NA,"PSA","real estate"
"232",232,0.0548439058065506,"train",NA,NA,NA,NA,"PSA","real estate"
"233",233,0.0641251821738129,"train",NA,NA,NA,NA,"PSA","real estate"
"234",234,0.0618240392728389,"train",NA,NA,NA,NA,"PSA","real estate"
"235",235,0.0754007823885862,"train",NA,NA,NA,NA,"PSA","real estate"
"236",236,0.0701081537163457,"train",NA,NA,NA,NA,"PSA","real estate"
"237",237,0.0775485157628288,"train",NA,NA,NA,NA,"PSA","real estate"
"238",238,0.0695712203727851,"train",NA,NA,NA,NA,"PSA","real estate"
"239",239,0.07003144895298,"train",NA,NA,NA,NA,"PSA","real estate"
"240",240,0.0722558870905882,"train",NA,NA,NA,NA,"PSA","real estate"
"241",241,0.0656592774411291,"train",NA,NA,NA,NA,"PSA","real estate"
"242",242,0.0500115057145047,"train",NA,NA,NA,NA,"PSA","real estate"
"243",243,0.0516223057451867,"train",NA,NA,NA,NA,"PSA","real estate"
"244",244,0.0677303060520057,"train",NA,NA,NA,NA,"PSA","real estate"
"245",245,0.066042801257958,"train",NA,NA,NA,NA,"PSA","real estate"
"246",246,0.0836848968320933,"train",NA,NA,NA,NA,"PSA","real estate"
