"","X","Y","phase","predictions_gp","predictions_lin","lower_bound_gp","upper_bound_gp","stock","stock_type"
"69",69,0.0116903256590719,"train",NA,NA,NA,NA,"NVDA","information tech"
"70",70,0.0115625159762104,"train",NA,NA,NA,NA,"NVDA","information tech"
"71",71,0.0119033417971746,"train",NA,NA,NA,NA,"NVDA","information tech"
"72",72,0.00968797396090728,"train",NA,NA,NA,NA,"NVDA","information tech"
"73",73,0.0106678481961793,"train",NA,NA,NA,NA,"NVDA","information tech"
"74",74,0.0102844191475946,"train",NA,NA,NA,NA,"NVDA","information tech"
"75",75,0.0102418159199741,"train",NA,NA,NA,NA,"NVDA","information tech"
"76",76,0.00985838687138938,"train",NA,NA,NA,NA,"NVDA","information tech"
"77",77,0.0106678481961793,"train",NA,NA,NA,NA,"NVDA","information tech"
"78",78,0.00998619655425096,"train",NA,NA,NA,NA,"NVDA","information tech"
"79",79,0.0099009900990099,"train",NA,NA,NA,NA,"NVDA","information tech"
"80",80,0.00998619655425096,"train",NA,NA,NA,NA,"NVDA","information tech"
"81",81,0.00866549649801469,"train",NA,NA,NA,NA,"NVDA","information tech"
"82",82,0.00904892554659941,"train",NA,NA,NA,NA,"NVDA","information tech"
"83",83,0.00987968848519964,"train",NA,NA,NA,NA,"NVDA","information tech"
"84",84,0.00985838687138938,"train",NA,NA,NA,NA,"NVDA","information tech"
"85",85,0.00870809972563522,"train",NA,NA,NA,NA,"NVDA","information tech"
"86",86,0.00819686099418893,"train",NA,NA,NA,NA,"NVDA","information tech"
"87",87,0.0095601642780457,"train",NA,NA,NA,NA,"NVDA","information tech"
"88",88,0.00947495782280466,"train",NA,NA,NA,NA,"NVDA","information tech"
"89",89,0.010071403009492,"train",NA,NA,NA,NA,"NVDA","information tech"
"90",90,0.00968797396090728,"train",NA,NA,NA,NA,"NVDA","information tech"
"91",91,0.0115625159762104,"train",NA,NA,NA,NA,"NVDA","information tech"
"92",92,0.00985838687138938,"train",NA,NA,NA,NA,"NVDA","information tech"
"93",93,0.00975187880233806,"train",NA,NA,NA,NA,"NVDA","information tech"
"94",94,0.00849508358753259,"train",NA,NA,NA,NA,"NVDA","information tech"
"95",95,0.00892111586373784,"train",NA,NA,NA,NA,"NVDA","information tech"
"96",96,0.00858029004277364,"train",NA,NA,NA,NA,"NVDA","information tech"
"97",97,0.00802644808370682,"train",NA,NA,NA,NA,"NVDA","information tech"
"98",98,0.00815425776656839,"train",NA,NA,NA,NA,"NVDA","information tech"
"99",99,0.00840987713229154,"train",NA,NA,NA,NA,"NVDA","information tech"
"100",100,0.00836727390467102,"train",NA,NA,NA,NA,"NVDA","information tech"
"101",101,0.00853768681515312,"train",NA,NA,NA,NA,"NVDA","information tech"
"102",102,0.00900632231897889,"train",NA,NA,NA,NA,"NVDA","information tech"
"103",103,0.00868679811182495,"train",NA,NA,NA,NA,"NVDA","information tech"
"104",104,0.00901058264174094,"train",NA,NA,NA,NA,"NVDA","information tech"
"105",105,0.00981578364376885,"train",NA,NA,NA,NA,"NVDA","information tech"
"106",106,0.0106678481961793,"train",NA,NA,NA,NA,"NVDA","information tech"
"107",107,0.0107104514237999,"train",NA,NA,NA,NA,"NVDA","information tech"
"108",108,0.0105826417409383,"train",NA,NA,NA,NA,"NVDA","information tech"
"109",109,0.0109234675619025,"train",NA,NA,NA,NA,"NVDA","information tech"
"110",110,0.0105826417409383,"train",NA,NA,NA,NA,"NVDA","information tech"
"111",111,0.0103270223752152,"train",NA,NA,NA,NA,"NVDA","information tech"
"112",112,0.00900632231897889,"train",NA,NA,NA,NA,"NVDA","information tech"
"113",113,0.00896371909135837,"train",NA,NA,NA,NA,"NVDA","information tech"
"114",114,0.00887851263611732,"train",NA,NA,NA,NA,"NVDA","information tech"
"115",115,0.00887851263611732,"train",NA,NA,NA,NA,"NVDA","information tech"
"116",116,0.00909152877421994,"train",NA,NA,NA,NA,"NVDA","information tech"
"117",117,0.00883590940849679,"train",NA,NA,NA,NA,"NVDA","information tech"
"118",118,0.00870809972563522,"train",NA,NA,NA,NA,"NVDA","information tech"
"119",119,0.00973057718852781,"train",NA,NA,NA,NA,"NVDA","information tech"
"120",120,0.00983708525757912,"train",NA,NA,NA,NA,"NVDA","information tech"
"121",121,0.0107104514237999,"train",NA,NA,NA,NA,"NVDA","information tech"
"122",122,0.0112216901552462,"train",NA,NA,NA,NA,"NVDA","information tech"
"123",123,0.0115199127485898,"train",NA,NA,NA,NA,"NVDA","information tech"
"124",124,0.0105826417409383,"train",NA,NA,NA,NA,"NVDA","information tech"
"125",125,0.0105400385133178,"train",NA,NA,NA,NA,"NVDA","information tech"
"126",126,0.010961810466761,"train",NA,NA,NA,NA,"NVDA","information tech"
"127",127,0.010071403009492,"train",NA,NA,NA,NA,"NVDA","information tech"
"128",128,0.0095601642780457,"train",NA,NA,NA,NA,"NVDA","information tech"
"129",129,0.00977318041614833,"train",NA,NA,NA,NA,"NVDA","information tech"
"130",130,0.0123719773010003,"train",NA,NA,NA,NA,"NVDA","information tech"
"131",131,0.0127767079633953,"train",NA,NA,NA,NA,"NVDA","information tech"
"132",132,0.0130493686201667,"train",NA,NA,NA,NA,"NVDA","information tech"
"133",133,0.0120311514800361,"train",NA,NA,NA,NA,"NVDA","information tech"
"134",134,0.0120311514800361,"train",NA,NA,NA,NA,"NVDA","information tech"
"135",135,0.0117329288866925,"train",NA,NA,NA,NA,"NVDA","information tech"
"136",136,0.0120737547076567,"train",NA,NA,NA,NA,"NVDA","information tech"
"137",137,0.0120737547076567,"train",NA,NA,NA,NA,"NVDA","information tech"
"138",138,0.0122228660043285,"train",NA,NA,NA,NA,"NVDA","information tech"
"139",139,0.0114134046795385,"train",NA,NA,NA,NA,"NVDA","information tech"
"140",140,0.0113921030657283,"train",NA,NA,NA,NA,"NVDA","information tech"
"141",141,0.0112642933828667,"train",NA,NA,NA,NA,"NVDA","information tech"
"142",142,0.0111790869276256,"train",NA,NA,NA,NA,"NVDA","information tech"
"143",143,0.0112216901552462,"train",NA,NA,NA,NA,"NVDA","information tech"
"144",144,0.0118181353419335,"train",NA,NA,NA,NA,"NVDA","information tech"
"145",145,0.0119885482524156,"train",NA,NA,NA,NA,"NVDA","information tech"
"146",146,0.0117329288866925,"train",NA,NA,NA,NA,"NVDA","information tech"
"147",147,0.0127767079633953,"train",NA,NA,NA,NA,"NVDA","information tech"
"148",148,0.0141613128610624,"train",NA,NA,NA,NA,"NVDA","information tech"
"149",149,0.015268996779196,"train",NA,NA,NA,NA,"NVDA","information tech"
"150",150,0.0152263935515755,"train",NA,NA,NA,NA,"NVDA","information tech"
"151",151,0.0156524258277807,"train",NA,NA,NA,NA,"NVDA","information tech"
"152",152,0.0156950290554012,"train",NA,NA,NA,NA,"NVDA","information tech"
"153",153,0.0159080451935039,"train",NA,NA,NA,NA,"NVDA","information tech"
"154",154,0.0165002300574292,"train",NA,NA,NA,NA,"NVDA","information tech"
"155",155,0.0161849661730373,"train",NA,NA,NA,NA,"NVDA","information tech"
"156",156,0.0156311242139705,"train",NA,NA,NA,NA,"NVDA","information tech"
"157",157,0.0149707741858523,"train",NA,NA,NA,NA,"NVDA","information tech"
"158",158,0.0152263935515755,"train",NA,NA,NA,NA,"NVDA","information tech"
"159",159,0.0153329016206268,"train",NA,NA,NA,NA,"NVDA","information tech"
"160",160,0.0150985838687139,"train",NA,NA,NA,NA,"NVDA","information tech"
"161",161,0.0147151548201292,"train",NA,NA,NA,NA,"NVDA","information tech"
"162",162,0.0146299483648881,"train",NA,NA,NA,NA,"NVDA","information tech"
"163",163,0.0145873451372676,"train",NA,NA,NA,NA,"NVDA","information tech"
"164",164,0.0145447419096471,"train",NA,NA,NA,NA,"NVDA","information tech"
"165",165,0.0138630902677187,"train",NA,NA,NA,NA,"NVDA","information tech"
"166",166,0.0147577580477497,"train",NA,NA,NA,NA,"NVDA","information tech"
"167",167,0.0147577580477497,"train",NA,NA,NA,NA,"NVDA","information tech"
"168",168,0.0142039160886829,"train",NA,NA,NA,NA,"NVDA","information tech"
"169",169,0.0131814386257903,"train",NA,NA,NA,NA,"NVDA","information tech"
"170",170,0.0138843918815289,"train",NA,NA,NA,NA,"NVDA","information tech"
"171",171,0.0133518515362724,"train",NA,NA,NA,NA,"NVDA","information tech"
"172",172,0.0143317257715445,"train",NA,NA,NA,NA,"NVDA","information tech"
"173",173,0.0139908999505803,"train",NA,NA,NA,NA,"NVDA","information tech"
"174",174,0.0148003612753702,"train",NA,NA,NA,NA,"NVDA","information tech"
"175",175,0.0149281709582318,"train",NA,NA,NA,NA,"NVDA","information tech"
"176",176,0.0156950290554012,"train",NA,NA,NA,NA,"NVDA","information tech"
"177",177,0.0158654419658833,"train",NA,NA,NA,NA,"NVDA","information tech"
