"error","timepoint","model","stock","stock_type"
0.00078517906466711,59,"GP","PSX","health care"
0.0233882230982102,60,"Linear","PSX","health care"
0.00094882432362158,60,"GP","PSX","health care"
0.0152334342880227,61,"Linear","PSX","health care"
0.0029282585527663,61,"GP","PSX","health care"
0.0152059844302223,62,"Linear","PSX","health care"
0.00316880754915636,62,"GP","PSX","health care"
0.0166461500463745,63,"Linear","PSX","health care"
0.0017296766089873,63,"GP","PSX","health care"
0.0150030514098956,64,"Linear","PSX","health care"
0.00169238503736796,64,"GP","PSX","health care"
0.0220705527435112,65,"Linear","PSX","health care"
0.0006499727813932,65,"GP","PSX","health care"
0.0160850657022273,66,"Linear","PSX","health care"
0.000638140855905625,66,"GP","PSX","health care"
0.0146596777442598,67,"Linear","PSX","health care"
0.0016105362511115,67,"GP","PSX","health care"
0.0148228196383507,68,"Linear","PSX","health care"
0.00116064854336219,68,"GP","PSX","health care"
0.014097548712621,69,"Linear","PSX","health care"
0.00204381201539071,69,"GP","PSX","health care"
0.0151531915530683,70,"Linear","PSX","health care"
0.00075770815451959,70,"GP","PSX","health care"
0.0138649606037631,71,"Linear","PSX","health care"
0.00111325516797308,71,"GP","PSX","health care"
0.0123780904121168,72,"Linear","PSX","health care"
0.00114053633330728,72,"GP","PSX","health care"
0.0201164193784316,73,"Linear","PSX","health care"
2.6814777829907e-07,73,"GP","PSX","health care"
0.0251297107837806,74,"Linear","PSX","health care"
6.27031421965842e-05,74,"GP","PSX","health care"
0.025794367551046,75,"Linear","PSX","health care"
0.000603733783567295,75,"GP","PSX","health care"
0.0215435335211387,76,"Linear","PSX","health care"
3.04189274956335e-05,76,"GP","PSX","health care"
0.0198125474267185,77,"Linear","PSX","health care"
3.98495636780475e-05,77,"GP","PSX","health care"
0.0220609754607562,78,"Linear","PSX","health care"
2.38915249538754e-08,78,"GP","PSX","health care"
0.0212009583104004,79,"Linear","PSX","health care"
7.2620924483408e-06,79,"GP","PSX","health care"
0.0262722104650225,80,"Linear","PSX","health care"
0.000289958546627918,80,"GP","PSX","health care"
0.0260628510545311,81,"Linear","PSX","health care"
0.000524145049631913,81,"GP","PSX","health care"
0.0288037149892575,82,"Linear","PSX","health care"
0.000643471208909521,82,"GP","PSX","health care"
0.0348531914271949,83,"Linear","PSX","health care"
0.00227760586624055,83,"GP","PSX","health care"
0.0311338689158719,84,"Linear","PSX","health care"
0.000845835416414405,84,"GP","PSX","health care"
0.0327549418583056,85,"Linear","PSX","health care"
0.000772740233319102,85,"GP","PSX","health care"
